
266) Value  : -49.36079
267) Value  : -45.31616
268) Value  : -52.60319
269) Value  : -55.33221
270) Value  : -54.36301
271) Value  : -63.66219
272) Value  : -58.97274
273) Value  : -66.11627
274) Value  : -60.67277
275) Value  : -65.43117
276) Value  : -69.15978
277) Value  : -69.82599
278) Value  : -74.42987
279) Value  : -74.65224
280) Value  : -74.54866
281) Value  : -79.33899
282) Value  : -83.70941
283) Value  : -78.69350
284) Value  : -81.49773
285) Value  : -86.27191
286) Value  : -84.35022
287) Value  : -87.16699
288) Value  : -88.21404
289) Value  : -92.52762
290) Value  : -92.56283
291) Value  : -95.61042
292) Value  : -94.15559
293) Value  : -98.91927
294) Value  : -99.83826
295) Value  : -97.93015
296) Value  : -102.90787
297) Value  : -99.91268
298) Value  : -107.86794
299) Value  : -102.08594
300) Value  : -104.45264
301) Value  : -111.62163
302) Value  : -114.57921
303) Value  : -110.27089
304) Value  : -112.57803
305) Value  : -116.50296
306) Value  : -116.79350
307) Value  : -114.14071
308) Value  : -121.55490
309) Value  : -119.08725
310) Value  : -118.57041
311) Value  : -121.03281
312) Value  : -118.67992
313) Value  : -122.64704
314) Value  : -126.34207
315) Value  : -126.17826
316) Value  : -128.50871
317) Value  : -124.08807
318) Value  : -126.54864
319) Value  : -127.40796
320) Value  : -125.19688
321) Value  : -127.29528
322) Value  : -130.09643
323) Value  : -133.02903
324) Value  : -133.57322
325) Value  : -131.76693
326) Value  : -133.64739
327) Value  : -129.35547
328) Value  : -133.24771
329) Value  : -131.46433
330) Value  : -134.79745
331) Value  : -129.79947
332) Value  : -131.12157
333) Value  : -129.03293
334) Value  : -134.87347
335) Value  : -130.17027
336) Value  : -134.55851
337) Value  : -135.07227
338) Value  : -135.62404
339) Value  : -134.33072
340) Value  : -130.36937
341) Value  : -139.28836
342) Value  : -133.06983
343) Value  : -132.93618
344) Value  : -129.92091
345) Value  : -133.09085
346) Value  : -132.38468
347) Value  : -127.23402
348) Value  : -135.17465
349) Value  : -130.18809
350) Value  : -130.23698
351) Value  : -131.84719
352) Value  : -134.47179
353) Value  : -134.60528
354) Value  : -124.83837
355) Value  : -124.07964
356) Value  : -131.97126
357) Value  : -126.33649
358) Value  : -119.87356
359) Value  : -124.58666
360) Value  : -117.84485
361) Value  : -127.41113
362) Value  : -124.05542
363) Value  : -120.68173
364) Value  : -122.59359
365) Value  : -123.31104
366) Value  : -118.37346
367) Value  : -113.30552
368) Value  : -116.73944
369) Value  : -110.84930
370) Value  : -113.20050
371) Value  : -108.86559
372) Value  : -114.46743
373) Value  : -109.40261
374) Value  : -102.48577
375) Value  : -112.16810
376) Value  : -101.17362
377) Value  : -103.76510
378) Value  : -104.93567
379) Value  : -103.34241
380) Value  : -103.70049
381) Value  : -93.61026
382) Value  : -97.44416
383) Value  : -94.17867
384) Value  : -91.17227
385) Value  : -91.63385
386) Value  : -88.12837
387) Value  : -88.82596
388) Value  : -87.15399
389) Value  : -82.47436
390) Value  : -78.03406
391) Value  : -84.42675
392) Value  : -77.16740
393) Value  : -81.69534
394) Value  : -80.72124
395) Value  : -71.47346
396) Value  : -73.38065
397) Value  : -72.81750
398) Value  : -72.76320
399) Value  : -66.41473
