0.006863, 35
0.010196, 52
0.009804, 50
0.010392, 53
0.009412, 48
0.009412, 48
0.011569, 59
0.011373, 58
0.011569, 59
0.011373, 58
0.011373, 58
0.011176, 57
0.011176, 57
0.010980, 56
0.010980, 56
0.010980, 56
0.011176, 57
0.010980, 56
0.010784, 55
0.010980, 56
0.010588, 54
0.010784, 55
0.010784, 55
0.010392, 53
0.010784, 55
0.010588, 54
0.010784, 55
0.010392, 53
0.010392, 53
0.010000, 51
0.010392, 53
0.010000, 51
0.010196, 52
0.009804, 50
0.010196, 52
0.010000, 51
0.010000, 51
0.009608, 49
0.010000, 51
0.009608, 49
0.009608, 49
0.009412, 48
0.009412, 48
0.009216, 47
0.009412, 48
0.009216, 47
0.009216, 47
0.009216, 47
0.009020, 46
0.009020, 46
0.009020, 46
0.009020, 46
0.008824, 45
0.008824, 45
0.008627, 44
0.008627, 44
0.008824, 45
0.008431, 43
0.008235, 42
0.008431, 43
0.008039, 41
0.008039, 41
0.008039, 41
0.008039, 41
0.007843, 40
0.007647, 39
0.008039, 41
0.007647, 39
0.007647, 39
0.007451, 38
0.007255, 37
0.007451, 38
0.007255, 37
0.007059, 36
0.006863, 35
0.006863, 35
0.006863, 35
0.006863, 35
0.006667, 34
0.006471, 33
0.006471, 33
0.006471, 33
0.006471, 33
0.006275, 32
0.006078, 31
0.006078, 31
0.006078, 31
0.005686, 29
0.005686, 29
0.005686, 29
0.005490, 28
0.005490, 28
0.005294, 27
0.005294, 27
0.005098, 26
0.004902, 25
0.005294, 27
0.005098, 26
0.004902, 25
0.004510, 23
0.004706, 24
0.004510, 23
0.004706, 24
0.004118, 21
0.004314, 22
0.003922, 20
0.004118, 21
0.003922, 20
0.004118, 21
0.003529, 18
0.003333, 17
0.003333, 17
0.003529, 18
0.003333, 17
0.003137, 16
0.003137, 16
0.002941, 15
0.002941, 15
0.002745, 14
0.002745, 14
0.002353, 12
0.002549, 13
0.002353, 12
0.002549, 13
0.001961, 10
0.002157, 11
0.001765, 9
0.001765, 9
0.001765, 9
0.001765, 9
0.001373, 7
0.001176, 6
0.001373, 7
0.000980, 5
0.001176, 6
0.000980, 5
0.001176, 6
0.000784, 4
0.000588, 3
0.000392, 2
0.000588, 3
0.000392, 2
0.000000, 0
0.000196, 1
0.000196, 1
0.000000, 0
-0.000196, -1
-0.000196, -1
-0.000588, -3
-0.000392, -2
-0.000784, -4
-0.000588, -3
-0.000980, -5
-0.000784, -4
-0.001176, -6
-0.001176, -6
-0.001176, -6
-0.001373, -7
-0.001373, -7
-0.001373, -7
-0.001373, -7
-0.001765, -9
-0.002157, -11
-0.002157, -11
-0.002157, -11
-0.001961, -10
-0.002353, -12
-0.002353, -12
-0.002549, -13
-0.002745, -14
-0.002549, -13
-0.002745, -14
-0.003137, -16
-0.002941, -15
-0.003137, -16
-0.003137, -16
-0.003333, -17
-0.003333, -17
-0.003725, -19
-0.003725, -19
-0.003922, -20
-0.003922, -20
-0.003922, -20
-0.004118, -21
-0.004118, -21
-0.004314, -22
-0.004314, -22
-0.004510, -23
-0.004706, -24
-0.004510, -23
-0.004706, -24
-0.004706, -24
-0.004902, -25
-0.005294, -27
-0.005098, -26
-0.005294, -27
-0.005294, -27
-0.005294, -27
-0.005490, -28
-0.005686, -29
-0.005686, -29
-0.005686, -29
-0.006078, -31
-0.006078, -31
-0.006275, -32
-0.006275, -32
-0.006667, -34
-0.006863, -35
-0.006078, -31
-0.007255, -37
-0.006471, -33
-0.007255, -37
-0.006471, -33
-0.007059, -36
-0.006863, -35
-0.007255, -37
-0.007255, -37
-0.007451, -38
-0.007451, -38
-0.007255, -37
-0.007647, -39
-0.007647, -39
-0.007647, -39
-0.007647, -39
-0.007843, -40
-0.008039, -41
-0.008039, -41
-0.008235, -42
-0.008235, -42
-0.008235, -42
-0.008039, -41
-0.008824, -45
-0.008431, -43
-0.008627, -44
-0.008431, -43
-0.009020, -46
-0.008627, -44
-0.008824, -45
-0.008824, -45
-0.009020, -46
-0.009020, -46
-0.009216, -47
-0.009216, -47
-0.009020, -46
-0.009216, -47
-0.009608, -49
-0.009608, -49
-0.009216, -47
-0.009804, -50
-0.009804, -50
-0.009804, -50
-0.009804, -50
-0.010000, -51
-0.010196, -52
-0.010000, -51
-0.010000, -51
-0.010196, -52
-0.010196, -52
-0.010392, -53
-0.010392, -53
-0.010392, -53
-0.010392, -53
-0.010588, -54
-0.010784, -55
-0.010588, -54
-0.010588, -54
-0.010588, -54
-0.010784, -55
-0.010980, -56
-0.010980, -56
-0.011176, -57
-0.011176, -57
-0.010980, -56
-0.011373, -58
-0.011176, -57
-0.011176, -57
-0.011373, -58
-0.011373, -58
-0.011569, -59
-0.011569, -59
-0.011176, -57
-0.011373, -58
-0.011765, -60
-0.011569, -59
-0.011569, -59
-0.011569, -59
-0.011765, -60
-0.011569, -59
-0.011961, -61
-0.011765, -60
-0.011961, -61
-0.011765, -60
-0.011961, -61
-0.012157, -62
-0.011765, -60
-0.011961, -61
-0.012157, -62
-0.011961, -61
-0.011961, -61
-0.012353, -63
-0.012157, -62
-0.012157, -62
-0.012353, -63
-0.012157, -62
-0.012353, -63
-0.012157, -62
-0.012157, -62
-0.012353, -63
-0.012157, -62
-0.012157, -62
-0.012353, -63
-0.012353, -63
-0.012353, -63
-0.012549, -64
-0.012549, -64
-0.012549, -64
-0.012353, -63
-0.012353, -63
-0.012549, -64
-0.012549, -64
-0.012549, -64
-0.012353, -63
-0.012353, -63
-0.012549, -64
-0.012549, -64
-0.012549, -64
-0.012353, -63
