Frequencies	Amplitudes
40000	0.01671116642935047
42000	0.02096647953589692
44000	0.028355309206022916
46000	0.04388481375286687
48000	0.08395866872809782
50000	0.11503008315548345
52000	0.06890822384962444
54000	0.045325397229223914
56000	0.03317963735871256
58000	0.026120602788647418
60000	0.021205275978748214
62000	0.017656845216701012
64000	0.015434952371475847
66000	0.01389467050750439
68000	0.012269725309457849
